Time,X,Y,Z
16:22:29.354,0.97,0.05,-3
16:22:31.370,0.9699999,-4.548861,-3
16:22:32.373,0.9699999,-4.548861,-3
16:22:33.376,0.9699999,-4.548861,-3
16:22:34.382,0.9699999,-4.548861,-3
16:22:35.385,0.9699999,-4.548861,-3
16:22:36.389,0.9699999,-4.548861,-3
16:22:37.394,0.9699999,-4.548861,-3
16:22:38.397,0.9699999,-4.548861,-3
16:22:39.399,0.9699999,-4.548861,-3
16:22:40.403,0.9699999,-4.548861,-3
16:22:41.406,0.9699999,-4.548861,-3
16:22:42.407,0.9699999,-4.548861,-3
16:22:43.407,0.9699999,-4.548861,-3
16:22:44.410,0.9699999,-4.548861,-3
16:22:45.410,0.9699999,-4.548861,-3
16:22:46.411,3.926992,-4.548951,-3
16:22:47.413,10.41565,-4.54895,-3
16:22:48.414,13.5724,-4.548952,-3
16:22:49.415,11.05997,-4.548951,-3
16:22:50.417,13.75497,-4.54895,-3
16:22:51.417,16.08831,-4.548951,-3
16:22:52.417,16.08829,-4.548951,-3
16:22:53.418,17.65194,-4.54895,-3
16:22:54.420,15.23193,-4.548949,-3
16:22:55.422,13.27985,-4.548845,-3
16:22:56.423,20.87747,-4.548846,-3
16:22:57.423,23.75767,-4.548847,-3
16:22:58.425,18.19527,-4.548847,-3
16:22:59.426,19.08214,-4.548956,-3
16:23:00.427,18.69016,-4.548987,-3
16:23:01.429,19.66347,-4.54855,-3
16:23:02.430,17.99371,-4.360339,-3
16:23:03.432,17.99371,-4.549049,-3
16:23:04.433,17.99371,-4.548846,-3
16:23:05.435,17.99371,-4.548989,-3
16:23:06.436,15.93431,-4.548915,-3
16:23:07.436,13.7491,-4.548916,-3
16:23:08.437,6.614426,-2.914327,-3
16:23:09.440,13.42857,-0.5180668,-3
16:23:10.441,13.20066,-4.549042,-3
16:23:11.442,20.18905,-4.549041,-3
16:23:12.442,22.73825,-2.72302,-3
16:23:13.444,17.82173,-1.684355,-3
16:23:14.444,18.84521,-4.548967,-3
16:23:15.445,25.27646,-0.3323451,-3
16:23:16.448,26.14011,7.019364,-3
16:23:17.449,29.54729,13.39051,-3
16:23:18.450,32.87223,11.97835,-3
16:23:19.449,36.74753,11.33229,-3
16:23:20.452,40.82918,10.11358,-3
16:23:21.453,45.32419,12.76241,-3
16:23:22.455,47.2217,9.451162,-3
16:23:23.455,47.2217,9.451162,-3
16:23:24.456,49.97345,13.318,-3
16:23:25.456,56.87021,13.11031,-3
16:23:26.457,61.5,13.6567,-3
16:23:27.457,68.16473,17.26085,-3
16:23:28.459,78.00884,14.71916,-3
16:23:29.461,82.35212,6.469218,-3
16:23:30.461,92.31956,4.158611,-3
16:23:31.463,99.37294,1.285225,-3
16:23:32.465,104.8754,-3.089816,-3
16:23:33.465,113.2727,-4.548929,-3
16:23:34.466,114.2951,0.9886569,-3
16:23:35.469,116.3607,3.708731,-3
16:23:36.471,118.5,11.82921,-3
16:23:37.472,117.9051,14.35056,-3
16:23:38.472,118.1337,21.34223,-3
16:23:39.473,110.5,20.45095,-3
16:23:40.474,105.5872,25.84274,-3
16:23:41.475,97.76415,26.05144,-3
16:23:42.475,105.6631,21.93171,-3
16:23:43.477,99.50007,18.35329,-3
16:23:44.478,101.8659,10.30079,-3
16:23:45.478,111.1935,7.797344,-3
16:23:46.479,106.762,-1.70918,-3
16:23:47.480,96.75018,-7.272347,-3
16:23:48.483,86.72758,-6.117334,-3
16:23:49.484,81.51513,-3.065835,-3
16:23:50.486,83.04117,-1.267382,-3
16:23:51.486,81.05844,-4.297303,-3
16:23:52.487,87.51645,-5.940462,-3
16:23:53.489,97.52983,-6.972536,-3
16:23:54.490,95.5673,-6.028556,-3
16:23:55.491,103.2759,-6.1271,-3
16:23:56.493,99.4375,-6.95567,-3
16:23:57.493,105.8458,-2.900102,-3
16:23:58.494,102.4142,-5.324738,-3
16:23:59.495,98.5,-3.450565,-3
16:24:00.496,91.9239,2.103988,-3
16:24:01.497,81.90963,4.689896,-3
16:24:02.500,76.94923,7.478968,-3
16:24:03.500,77.12749,12.97525,-3
16:24:04.503,72.58684,17.88238,-3
16:24:05.503,62.58256,18.05542,-3
16:24:06.505,52.56557,8.951985,-3
16:24:07.507,46.65329,12.42792,-3
16:24:08.510,36.65487,10.77419,-3
16:24:09.511,26.64007,11.25842,-3
16:24:10.514,22.71926,-1.994361,-3
16:24:11.513,12.96168,-3.487293,-3
16:24:12.516,2.942692,-3.072683,-3
16:24:13.517,-1.477722,-0.9747306,-3
16:24:14.519,-1.5,4.706447,-3
16:24:15.521,8.755567,-3.046175,-3
16:24:16.521,18.7661,-3.212907,-3
16:24:17.523,16.78899,-2.567804,-3
16:24:18.525,6.776968,-3.098162,-3
16:24:19.525,-0.9342094,-2.018292,-3
16:24:20.527,-1.5,2.318079,-3
16:24:21.526,9.451628,-3.658944,-3
16:24:22.528,19.46802,-3.393175,-3
16:24:23.529,24.85092,-0.2204088,-3
16:24:24.529,23.77905,-3.822011,-3
16:24:25.532,24.761,2.608623,-3
16:24:26.533,23.77688,10.92745,-3
16:24:27.536,32.42785,9.451097,-3
